dayofweek,date,holiday_category,holiday_type,holiday_code,holiday,notes,ISO_date,rollup_date,Regional,RGR,lower_window,upper_window,prior_scale
Monday,December 04 2017,R,Regional,Regional,Westland Anniversary Day,Monday nearest to December 1 (Greymouth),4/12/2017, 03/12/2017,1,RGR West Coast,-1,0,1
Monday,December 25 2017,X,National,Christmas Day,Christmas Day,No Notes,25/12/2017, 24/12/2017,0,,-1,0,2
Tuesday,December 26 2017,BD,National,Boxing Day,Boxing Day,No Notes,26/12/2017, 31/12/2017,0,,-1,0,1
Monday,1/01/2018,NY,National,New Year's Day,New Year's Day,No Notes,1/01/2018, 31/12/2017,0,,-1,0,2
Tuesday,2/01/2018,N,National,New Year's Day,Day after New Years Day,No Notes,2/01/2018, 31/12/2017,0,,-1,0,1
Monday,22/01/2018,R,Regional,Regional,Wellington Anniversary Day,Monday closest to 22 January,22/01/2018,21/01/2018,1,RGR Wellington City |  RGR Wellington Region |  RGR Wairarapa,-1,0,1
Monday,29/01/2018,R,Regional,Regional,Auckland Anniversary Day,Monday nearest to January 29 (Auckland Anniversary Day),29/01/2018,28/01/2018,1,RGR Auckland Central | RGR Auckland East | RGR Auckland North | RGR Auckland South |  RGR Auckland West |  RGR Hamilton |  RGR Waikato |  RGR Taupo |  RGR Tauranga |  RGR BOP Region |  RGR Coromandel West Bay of Plenty |  RGR Manawatu |  RGR Counties,-1,0,1
Monday,29/01/2018,R,Regional,Regional,Nelson Anniversary Day,Monday nearest to February 1,29/01/2018,28/01/2018,1,RGR Nelson,-1,0,1
Tuesday,6/02/2018,W,National,Waitangi Day,Waitangi Day,National Day,6/02/2018,11/02/2018,0,,-1,0,2
Monday,12/03/2018,R,Regional,Regional,Taranaki Anniversary Day,Second Monday in March,12/03/2018,11/03/2018,1,RGR Taranaki,-1,0,1
Monday,26/03/2018,R,Regional,Regional,Otago Anniversary Day,Monday nearest to the actual day,26/03/2018,25/03/2018,1,RGR Dunedin |  RGR Otago |  RGR Queenstown,-1,0,1
Friday,30/03/2018,N,National,Good Friday,Good Friday,The Friday before Easter Sunday,30/03/2018,1/04/2018,0,,-1,0,1
Monday,2/04/2018,N,National,Easter Monday,Easter Monday,Monday after Easter Sunday,2/04/2018,1/04/2018,0,,-1,0,1
Tuesday,3/04/2018,R,Regional,Regional,Southland Anniversary Day,Observed on Easter Tuesday,3/04/2018,8/04/2018,1,RGR Southland,-1,0,1
Wednesday,25/04/2018,N,National,Anzac Day,Anzac Day,No Notes,25/04/2018,29/04/2018,0,,-1,0,1
Sunday,13/05/2018,R,Regional,Regional,Mother's Day,2nd Sunday in May. Not a public holiday,13/05/2018,13/05/2018,0,,-1,0,1
Monday,4/06/2018,N,National,Queen's Birthday,Queen's Birthday,The first Monday in June,4/06/2018,3/06/2018,0,,-1,0,1
Sunday,2/09/2018,R,Regional,Regional,Father's Day,1st Sunday in September. Not a public holiday,2/09/2018,2/09/2018,0,,-1,0,1
Monday,24/09/2018,R,Regional,Regional,Dominion Day,Fourth Monday in September,24/09/2018,23/09/2018,1,RGR Canterbury,-1,0,1
Friday,19/10/2018,R,Regional,Regional,Hawkes Bay Anniversary Day,Friday before Labour Day,19/10/2018,21/10/2018,1,RGR Hawkes Bay,-1,0,1
Monday,22/10/2018,N,National,Labour Day,Labour Day,The fourth Monday in October,22/10/2018,21/10/2018,0,,-1,0,1
Monday,29/10/2018,R,Regional,Regional,Marlborough Anniversary Day,First Monday after Labour Day,29/10/2018,28/10/2018,1,RGR Nelson,-1,0,1
Friday,16/11/2018,R,Regional,Regional,Christchurch Show Day,Northern and Central Canterbury. Second Friday after the first Tuesday in November,16/11/2018,18/11/2018,1,RGR Christchurch City,-1,0,1
Monday,3/12/2018,R,Regional,Regional,Chatham Islands Anniversary Day,Monday nearest to November 30,3/12/2018,2/12/2018,1,,-1,0,1
Monday,3/12/2018,R,Regional,Regional,Westland Anniversary Day,Monday nearest to December 1 (Greymouth),3/12/2018,2/01/2018,1,RGR West Coast,-1,0,1
